Date,Close,High,Low,Open,Volume
2022-01-04,42.105289459228516,42.15396117377187,42.03703550720449,42.07685091526768,122565
2022-01-05,41.76591873168945,42.030729215293135,41.73747656618298,42.030729215293135,162390
2022-01-06,41.24199295043945,41.58706343578907,41.087150431060074,41.58706343578907,197295
2022-01-07,41.54344940185547,41.70271101405076,41.4669756209042,41.70271101405076,101265
2022-01-10,41.155399322509766,41.255885299364174,41.004357547748974,41.255885299364174,192630
2022-01-11,41.08966827392578,41.19394410587621,41.04921641139075,41.1623485468767,127875
2022-01-12,41.302024841308594,41.41452053031581,41.272949833605814,41.2900115110115,116685
2022-01-13,40.92409133911133,41.07703890508522,40.898180587936146,41.07703890508522,171825
2022-01-14,40.47727584838867,40.74586889710315,40.42229008901846,40.74586889710315,199830
2022-01-17,40.837501525878906,40.99613025778406,40.763559164514156,40.96074120568275,100860
2022-01-18,40.77937316894531,40.91524821561971,40.632746877660075,40.90133994559843,122775
2022-01-19,40.05510330200195,40.37678353374962,40.018444926126755,40.37678353374962,234915
2022-01-20,39.79283142089844,39.804204668673606,39.46608470246365,39.802946198013586,233595
2022-01-21,39.15640640258789,39.227820982157255,39.01799997136153,39.129862802525146,293745
2022-01-24,39.0091552734375,39.04012522405066,38.55159992882271,38.63312568391649,664755
2022-01-25,38.55158996582031,39.045803565404995,38.53388820623676,39.030636827980395,394080
2022-01-27,38.360103607177734,38.854320963214164,38.17050848671969,38.650817571731444,347940
2022-01-28,39.06919860839844,39.191801853598676,38.949115920727166,39.067929288896764,1271775
2022-01-31,40.01401901245117,40.11956779692228,39.88888437754338,40.04245755156382,249165
2022-02-01,40.28704071044922,40.42544715375306,40.15621763692585,40.26618553947926,339465
2022-02-02,40.505714416503906,40.505714416503906,40.38121262598251,40.44440737413406,195720
2022-02-03,40.33317947387695,40.57396682446898,40.25165011518572,40.57396682446898,290505
2022-02-04,40.066471099853516,40.15937368081258,39.986203848511856,40.136619961879354,140190
2022-02-07,40.17266082763672,40.27377243355786,40.051941670667496,40.24091477792841,151560
2022-02-08,39.862972259521484,39.904049746129985,39.735306222921444,39.90215480793271,131925
2022-02-09,40.11071014404297,40.12461841181404,39.9931588824292,40.06331137501658,153075
2022-02-10,40.3603630065918,40.45199630808936,40.3306551423587,40.45137068903734,116385
2022-02-11,39.73215866088867,39.804842576724425,39.65757980640433,39.804842576724425,126420
2022-02-14,39.33525085449219,39.37885974396873,39.04833408767327,39.26510198327019,170175
2022-02-15,39.076148986816406,39.15451771280504,39.00473439585044,39.15451771280504,211500
2022-02-16,39.441429138183594,39.502732554682915,39.395925310327826,39.49578565383964,139980
2022-02-17,39.28217315673828,39.36876533776526,39.1968539115109,39.3346347466384,143010
2022-02-18,38.73612594604492,38.78859114578677,38.52505007214553,38.65649514246651,514965
2022-02-21,38.36704635620117,38.50860981622922,38.11614061912291,38.3126970678764,246690
2022-02-22,37.66427993774414,38.23559306700418,37.53028897627776,38.23559306700418,349680
2022-02-23,37.88861846923828,37.94676847282563,37.798247288290035,37.798247288290035,194610
2022-02-24,36.45463180541992,37.28759083627131,36.33960111615276,37.28759083627131,495675
2022-02-25,37.55366897583008,37.83870167963395,37.54039717559206,37.70408873901817,395580
2022-02-28,37.77676773071289,37.9954414677142,37.5574683746919,37.79951784200091,442905
2022-03-01,38.14142608642578,38.246964022714465,38.04536645780612,38.082013985435964,254400
2022-03-02,37.683860778808594,37.71167369977271,37.49805195134047,37.698401898974595,242220
2022-03-03,38.08012008666992,38.13005026505929,37.94993348407578,37.94993348407578,141195
2022-03-04,37.292022705078125,37.83174011616174,37.18141835375218,37.83174011616174,438090
2022-03-07,36.551963806152344,37.160571757904975,36.30232735895552,37.160571757904975,247140
2022-03-08,36.35224914550781,36.39522156683899,36.19867598917766,36.242910497106884,316080
2022-03-09,36.46158981323242,36.509621437261636,36.213215471900206,36.223330247717826,226935
2022-03-10,36.933677673339844,37.19027179280291,36.89575721760466,37.07524110650877,318675
2022-03-11,36.612003326416016,36.73460655122881,36.55448978226291,36.71438423364177,271770
2022-03-14,36.95328903198242,36.95328903198242,36.69606195905408,36.73397881354098,245460
2022-03-15,36.89387512207031,36.971610998498356,36.71881028312905,36.83067313508051,181545
2022-03-16,37.47404861450195,37.565692771268424,37.40958814988344,37.51639543305358,165285
2022-03-17,37.73378372192383,37.964456254673294,37.66047421396927,37.92653941415911,223455
2022-03-18,37.63835525512695,37.73378926257535,37.584642435398614,37.72746436378689,125370
2022-03-21,38.083919525146484,38.23497218502602,37.99228983168162,38.20274376020327,113250
2022-03-22,38.1426887512207,38.22738237579855,38.0877066048466,38.19830736548233,99675
2022-03-23,38.39169692993164,38.399916767479844,38.289312398182915,38.300689260887125,109350
2022-03-24,37.89305114746094,38.34429597399312,37.66743054234203,37.754008245614216,155445
2022-03-25,38.15658950805664,38.21789654199163,38.05041511318073,38.08138505588228,206640
2022-03-28,38.124359130859375,38.2735059550294,38.08075023837662,38.23558549341781,214695
2022-03-29,38.7525634765625,38.79427381433084,38.621107564631075,38.669764803635154,308100
2022-03-30,38.928245544433594,39.06918334961363,38.89917054498147,38.96680246534883,174615
2022-03-31,39.03253936767578,39.06350931631669,38.86695284521915,38.8903394236709,178170
2022-04-01,38.55012893676758,39.22626626255893,38.451901544005764,39.22626626255893,168570
2022-04-04,38.4322624206543,38.4322624206543,38.29728587542573,38.413251486426404,155520
2022-04-05,38.13822555541992,38.52984427259077,38.117952785451195,38.482315124182605,197805
2022-04-06,37.89426040649414,38.01022600803619,37.747880213440155,38.01022600803619,239040
2022-04-07,37.84737777709961,37.870826900176255,37.67248292593541,37.722546640535576,203955
2022-04-08,38.20856475830078,38.3802940797281,38.020997222393305,38.020997222393305,158685
2022-04-11,38.02289962768555,38.192094410358514,37.92594857331347,38.16801800221166,141225
2022-04-12,37.49884796142578,37.73647922056591,37.438015142294404,37.72887557142015,222765
2022-04-13,37.68260955810547,37.697816853996386,37.45068197892793,37.69211321154612,204090
2022-04-14,37.85054016113281,37.91833845115153,37.735840016295825,37.80173830075406,111555
2022-04-19,37.889190673828125,38.03430905652961,37.862576088624266,38.02734357721399,243765
2022-04-20,37.9842414855957,38.16864355743348,37.93291232622541,38.02163606178854,123930
2022-04-21,38.158512115478516,38.23772132559568,38.106548407985315,38.106548407985315,112185
2022-04-22,37.87588119506836,37.948121297304255,37.64078812331379,37.76689556273868,220365
2022-04-26,37.78717803955078,38.020367517160814,37.742814349691216,37.93672374129808,143745
2022-04-27,37.08061981201172,37.185178150590374,36.994434240168324,37.10215804655039,325665
2022-04-28,37.71176528930664,37.79097086814496,37.46715769232656,37.54067050615956,109725
2022-04-29,37.89869689941406,38.07676804968155,37.83469861388726,37.86637867171433,319455
2022-05-02,37.36641311645508,37.46526783582075,37.007116115320066,37.134485433706075,223740
2022-05-03,37.098358154296875,37.38731496475987,37.06097445079368,37.34169306781736,196320
2022-05-04,37.289093017578125,37.38730952868953,37.22065655614952,37.32647671564578,121935
2022-05-05,37.68324661254883,37.74598305771683,37.520386397849904,37.52926275999135,236445
2022-05-06,37.07046890258789,37.07046890258789,36.80938857911007,37.00329428385325,459570
2022-05-09,36.925357818603516,36.986828807244535,36.75680119865621,36.79862670765015,126225
2022-05-10,36.58696746826172,36.61802023080875,36.31005253648723,36.56225289218505,426285
2022-05-11,36.6148681640625,36.659217351370344,36.52234076959586,36.56226265270103,162495
2022-05-12,36.17824935913086,36.34174052167527,36.0204618404615,36.34174052167527,192345
2022-05-13,36.56163787841797,36.64908892683174,36.42032673077797,36.43679586843016,260130
2022-05-16,36.84614944458008,36.908885890338944,36.733987470434954,36.89304042345845,342105
2022-05-17,36.47671127319336,36.693427950088086,36.42633211530326,36.693427950088086,110535
2022-05-18,36.84109115600586,36.98809868209653,36.81700386607121,36.89938580605543,205125
2022-05-19,35.607303619384766,36.753637981906294,35.51224894428686,36.753637981906294,403050
2022-05-20,35.45584487915039,35.57941413620442,35.23342094164611,35.26130823751755,456795
2022-05-23,35.25180435180664,35.40641549315886,35.14724602929181,35.40641549315886,307140
2022-05-24,35.19160461425781,35.41846676855963,35.18209733284971,35.38298307067264,269055
2022-05-25,35.36840057373047,35.47042798236074,35.29425683744247,35.40325335117571,164835
2022-05-26,35.600955963134766,35.70995245615246,35.56293772530075,35.573706839880344,272070
2022-05-27,36.04328155517578,36.318934750658585,36.017301508010036,36.29675834194041,260175
2022-05-30,37.06160354614258,37.06160354614258,36.89050876688264,36.92028881651732,406545
2022-05-31,36.740318298339844,36.903805757630565,36.740318298339844,36.89620211138028,628080
2022-06-01,36.61802291870117,36.78151405756831,36.61802291870117,36.709273955555624,346605
2022-06-02,36.40700149536133,36.42981606457438,36.223864901711636,36.223864901711636,338655
2022-06-03,36.595211029052734,36.61168378792354,36.4919181648765,36.60091467195473,160605
2022-06-06,36.436790466308594,36.753641833818826,36.22197376740746,36.753641833818826,360885
2022-06-07,36.211204528808594,36.45009763769829,35.98181507541036,36.444397619982695,226530
2022-06-08,36.57113265991211,36.61231999382724,36.49001620185987,36.4963543882921,138090
2022-06-09,36.36075210571289,36.559734223002195,36.34237933773532,36.559734223002195,222840
2022-06-10,35.91399002075195,36.03375561931189,35.868364512829466,36.0039755750802,161955
2022-06-14,34.71824264526367,34.71824264526367,34.409009428786334,34.471107714088106,858150
2022-06-15,34.52242660522461,34.66184132621029,34.41787190992376,34.66120315640371,318390
2022-06-16,34.30128860473633,34.65108190183641,34.30128860473633,34.578203614734704,252135
2022-06-17,33.45467758178711,33.547828627054514,33.108049815209334,33.19867356275189,447015
2022-06-20,33.59789276123047,33.84883131015485,33.55163269697047,33.83805494152491,237630
2022-06-21,34.049076080322266,34.07378703652947,33.80003750450087,33.83805938077214,210135
2022-06-22,34.191650390625,34.348176067251416,34.1694776118868,34.346910605308715,132945
2022-06-23,34.58769607543945,34.699219858505366,34.42040496189418,34.42040496189418,152160
2022-06-24,35.1865348815918,35.2327949431949,34.794916156605055,34.818992564274325,226575
2022-06-27,35.91526794433594,36.08002088838068,35.66052581602941,35.66052581602941,273630
2022-06-28,35.79740905761719,35.91907468961235,35.66496343146569,35.87091099557314,163785
2022-06-29,35.28411865234375,35.29869140346913,35.13013482003684,35.23912043351669,101610
2022-06-30,34.91152572631836,35.3253209648767,34.91152572631836,35.24991537618884,159480
2022-07-01,34.91496658325195,35.06127301345466,34.78457307473112,35.0485448599502,145710
2022-07-04,35.42193603515625,35.53515363928193,35.3977609137455,35.52880230130214,183090
2022-07-05,35.62039566040039,35.621025334585305,35.41748042451074,35.60067557523357,127185
2022-07-06,35.7520637512207,35.91553516346713,35.678271766452724,35.77241714861749,169680
2022-07-07,35.96515655517578,36.12926858141175,35.87801401193593,36.07901475572832,115815
2022-07-08,36.23549270629883,36.30356304034067,36.1407176326107,36.1407176326107,156345
2022-07-11,36.11845397949219,36.22594626930048,36.07010738126229,36.2144956634109,194970
2022-07-12,36.253936767578125,36.45684469178218,36.213863289686785,36.42821817919222,194550
2022-07-13,35.96261215209961,36.087287657876615,35.9238162095505,36.031949116689205,348975
2022-07-14,35.701168060302734,35.780685337068505,35.62038779571082,35.71070780408463,139170
2022-07-15,35.91872024536133,35.92890058594676,35.779416643206844,35.82712629797759,133125
