Date,Close,High,Low,Open,Volume
2022-01-04,80.60499572753906,80.65479206294722,79.48467631730779,79.56766176780935,175882
2022-01-05,80.2647476196289,80.89544839387435,80.2232517317164,80.80416250557369,107628
2022-01-06,78.16519165039062,80.08218280867983,77.88303351708693,80.08218280867983,330889
2022-01-07,79.08634185791016,79.45147909824757,78.75439373192569,78.88716918348915,175067
2022-01-10,79.00334930419922,79.06974019502273,78.55522661960012,79.04484519380986,174889
2022-01-11,78.43075561523438,78.80419334539452,78.28137925689339,78.55523696908264,219756
2022-01-12,78.86229705810547,79.2357411824342,78.74611613001717,79.0282743349357,129266
2022-01-13,79.31040954589844,79.41829000463386,79.04485229014755,79.11124318693136,115193
2022-01-14,78.46392822265625,78.9037567243442,78.35604145941616,78.78757584961089,302650
2022-01-17,78.70458221435547,78.83736397168725,78.33114460177949,78.80416853235431,199308
2022-01-18,78.58841705322266,79.00335063076108,78.49713115965349,78.83737973229928,164276
2022-01-19,77.8581314086914,78.40584673614696,77.76684552078216,78.21497451650481,360872
2022-01-20,77.95772552490234,78.01581597470127,77.46810059255354,77.71706328105418,263940
2022-01-21,76.2398910522461,77.592572115714,75.94943250863138,77.50958667384553,462583
2022-01-24,75.78345489501953,75.98262120409377,75.2440400737016,75.76686034067285,438198
2022-01-25,73.89136505126953,75.33533198768274,73.36855107378801,75.30213654494662,692952
2022-01-27,72.53041076660156,74.77935062177669,71.65904747918069,73.89139277245377,815561
2022-01-28,74.15692138671875,74.306297711577,72.54697725562237,73.4681302036844,985589
2022-01-31,73.949462890625,74.9784963928493,73.48473930859801,74.68804415408243,447409
2022-02-01,74.32289123535156,74.74612520513875,73.65900139182867,74.12372491543302,435854
2022-02-02,75.25235748291016,75.46812472636063,74.88721389113002,74.9701993443389,303569
2022-02-03,75.12786865234375,75.18595909694078,74.79592054119631,75.01998820705887,218662
2022-02-04,75.59259796142578,75.59259796142578,74.75443667294257,74.82082756650087,191971
2022-02-07,75.4681167602539,75.61749309281602,74.72953554130332,75.11127365087683,177826
2022-02-08,76.2481918334961,76.43906406473322,75.36023423193332,75.38512923353296,200914
2022-02-09,77.08635711669922,77.08635711669922,76.23989543081386,76.63822810721271,296107
2022-02-10,77.3270263671875,77.90793087777342,77.10296500778558,77.54279361314126,194129
2022-02-11,76.55525207519531,76.9867802495932,76.24819892036494,76.78761388690067,215157
2022-02-14,76.7461166381836,77.07805843229957,76.23159672708964,76.28968717419832,154343
2022-02-15,76.4390640258789,76.75441126495394,76.30628224223642,76.38927402270494,162217
2022-02-16,77.38511657714844,77.38511657714844,76.55524937524872,77.20254477970902,135336
