Date,Close,High,Low,Open,Volume,MA20,MA50,Daily_Return,Volume_Delta,RSI,MACD,MACD_Signal,Intraday_Range,^VIX,^TNX,GLD,^GSPC,AUDUSD=X
2022-03-15,84.91995239257812,85.08234076814585,84.53202498888328,84.76658750534887,85089,86.83298797607422,90.8298146057129,0.0013828740082213464,0.6122669395179627,40.020393106922654,-2.069698916177302,-2.0712332857039777,0.5503157792625757,29.829999923706055,2.1600000858306885,178.88999938964844,4262.4501953125,0.71986985206604
2022-03-16,86.01158142089844,86.24614399451904,85.84017639813152,85.9664777340257,83502,86.530765914917,90.60247146606446,0.012854800286201229,-0.018651059478898557,51.9219740541023,-1.8693338995105506,-2.0308534084652923,0.40596759638752644,26.670000076293945,2.187999963760376,180.00999450683594,4357.85986328125,0.7191000580787659
2022-03-17,86.88666534423828,87.58132950404416,86.74232392482912,87.19340204520482,64680,86.30161781311035,90.40904891967773,0.010174024345135813,-0.2254077746640799,48.588955909347014,-1.621242546134738,-1.9489312359991815,0.8390055792150406,25.670000076293945,2.191999912261963,180.88999938964844,4411.669921875,0.7288799285888672
2022-03-18,86.68820190429688,86.9227644866685,86.57994754543832,86.88667740608004,83653,86.11306762695312,90.23493270874023,-0.002284164539577027,0.2933364254792825,47.044408212491206,-1.4242251215064385,-1.843990013100633,0.3428169412301827,23.8700008392334,2.1480000019073486,179.3000030517578,4463.1201171875,0.738099992275238
2022-03-21,87.53623962402344,88.18579337212165,87.36482769524542,87.6445008763423,49695,86.01157569885254,90.06388381958008,0.00978261979251549,-0.4059388186914994,46.848057937048445,-1.1859865220444874,-1.712389314889404,0.8209656768762272,23.530000686645508,2.315000057220459,180.6699981689453,4461.18017578125,0.7409987449645996
2022-03-22,87.5903549194336,87.91513174939831,87.5091641533957,87.85198108151108,55261,86.00390853881837,89.90799118041993,0.0006182044789972974,0.11200321963980286,51.72655061473779,-0.9814999430937661,-1.5662114405302767,0.40596759600261123,22.940000534057617,2.372999906539917,179.36000061035156,4511.60986328125,0.7395793199539185
2022-03-23,88.2489242553711,88.27598784165389,87.91512396443606,87.96023453017803,90537,85.99398498535156,89.76978073120117,0.0075187426348855,0.6383525451946219,51.39736944049881,-0.7575690303015392,-1.4044829584845293,0.36086387721782387,23.56999969482422,2.321000099182129,181.80999755859375,4456.240234375,0.7462301850318909
2022-03-24,87.06709289550781,87.15730713489225,86.60699132687034,86.76035622211441,60718,86.07698287963868,89.5958447265625,-0.013392020014242334,-0.3293570584401957,56.99160004423384,-0.6677684631707734,-1.2571400594217783,0.5503158080219066,21.670000076293945,2.3410000801086426,183.1300048828125,4520.16015625,0.7499175071716309
2022-03-25,87.50917053222656,87.56329771353066,87.26559133345103,87.40090928671128,59586,86.08735847473145,89.44608703613281,0.005077436514956402,-0.018643565334826584,72.60404169696525,-0.5545365439634509,-1.1166193563301128,0.29770638007963157,20.809999465942383,2.492000102996826,182.3800048828125,4543.06005859375,0.7514277100563049
2022-03-28,87.1392593383789,87.6083843914178,87.07610868311274,87.54523373615163,86064,86.06660881042481,89.30697448730469,-0.004227113473912247,0.4443661262712717,71.37762649892353,-0.489011157837723,-0.9910977166316349,0.5322757083050647,19.6299991607666,2.4769999980926514,179.05999755859375,4575.52001953125,0.7518231272697449
