Date,Close,High,Low,Open,Volume,MA20,MA50,Daily_Return,Volume_Delta,RSI,MACD,MACD_Signal,Intraday_Range,^VIX,^TNX,GLD,^GSPC,AUDUSD=X
2022-03-15,36.89387512207031,36.971610998498356,36.71881028312905,36.83067313508051,181545,37.55604152679443,39.16387626647949,-0.0016075019510523036,-0.2603886580298216,42.90099594261732,-0.7493115219848505,-0.7718443101767246,0.25280071536930393,29.829999923706055,2.1600000858306885,178.88999938964844,4262.4501953125,0.71986985206604
2022-03-16,37.474037170410156,37.565681299189684,37.40957672547704,37.516383976029616,165285,37.45767116546631,39.07125137329101,0.015725158889389412,-0.08956457076757829,58.28452666313663,-0.6668391491573615,-0.7508432779728521,0.1561045737126463,26.670000076293945,2.187999963760376,180.00999450683594,4357.85986328125,0.7191000580787659
2022-03-17,37.733787536621094,37.9644600926904,37.660478021255315,37.926543248343016,223455,37.380252265930174,38.990608825683594,0.00693147538467076,0.3519375623922316,51.69498826833772,-0.5739039087639313,-0.715455404131068,0.3039820714350867,25.670000076293945,2.191999912261963,180.88999938964844,4411.669921875,0.7288799285888672
2022-03-18,37.63835906982422,37.73379308694498,37.58464624465201,37.72746818751549,125370,37.32536392211914,38.91853630065918,-0.0025289925296860805,-0.4389474390816943,48.66549894912778,-0.5021637102655347,-0.6727970653579614,0.14914684229296427,23.8700008392334,2.1480000019073486,179.3000030517578,4463.1201171875,0.738099992275238
2022-03-21,38.08391189575195,38.234964525370934,37.99228222064336,38.20273610700454,113250,37.31120681762695,38.84934577941895,0.011837732487252506,-0.09667384541756396,49.4539865213335,-0.40469166310286653,-0.6191759849069425,0.24268230472757324,23.530000686645508,2.315000057220459,180.6699981689453,4461.18017578125,0.7409987449645996
2022-03-22,38.1426887512207,38.22738237579855,38.0877066048466,38.19830736548233,99675,37.335127639770505,38.78909164428711,0.0015433513140572508,-0.11986754966887414,54.71312182017097,-0.31902405177730486,-0.559145598281015,0.13967577095194628,22.940000534057617,2.372999906539917,179.36000061035156,4511.60986328125,0.7395793199539185
2022-03-23,38.39169692993164,38.399916767479844,38.289312398182915,38.300689260887125,109350,37.36028118133545,38.73513206481934,0.006528333131810671,0.09706546275395045,53.3003612383931,-0.22840605084983423,-0.49299768879477884,0.1106043692969294,23.56999969482422,2.321000099182129,181.80999755859375,4456.240234375,0.7462301850318909
2022-03-24,37.8930549621582,38.344299834117244,37.667434334326046,37.75401204631402,155445,37.4322021484375,38.666952514648436,-0.012988276310982205,0.42153635116598087,56.78224964960069,-0.19458383044869976,-0.433314917125563,0.676865499791198,21.670000076293945,2.3410000801086426,183.1300048828125,4520.16015625,0.7499175071716309
2022-03-25,38.156593322753906,38.21790036281805,38.05041891726324,38.081388863060994,206640,37.46234817504883,38.61160270690918,0.006954793189910102,0.3293447843288624,70.28932659601355,-0.14484445714730754,-0.37562082512991196,0.16748144555481304,20.809999465942383,2.492000102996826,182.3800048828125,4543.06005859375,0.7514277100563049
2022-03-28,38.12436294555664,38.27350978465019,38.0807540487104,38.235589319244305,214695,37.479728317260744,38.56454444885254,-0.0008446869699462178,0.038980836236933714,73.3979712101218,-0.10679529781697283,-0.3218557196673242,0.1927557359397838,19.6299991607666,2.4769999980926514,179.05999755859375,4575.52001953125,0.7518231272697449
2022-03-29,38.75257110595703,38.79428145193708,38.62111516814528,38.66977241672873,308100,37.51028575897217,38.52284576416016,0.016477866431434007,0.43505903723887385,76.60370504903742,-0.02565419098415589,-0.26261541393069054,0.17316628379180088,18.899999618530273,2.4000000953674316,179.13999938964844,4631.60009765625,0.7499501705169678
2022-03-30,38.928260803222656,39.06919866364639,38.89918579237394,38.966817739251134,174615,37.572505950927734,38.485823440551755,0.0045336268601443575,-0.4332521908471275,74.8740041882844,0.0522253892619986,-0.19964725329215272,0.1700128712724478,19.329999923706055,2.3580000400543213,180.5800018310547,4602.4501953125,0.7514672875404358
2022-03-31,39.03253936767578,39.06350931631669,38.86695284521915,38.8903394236709,178170,37.62012691497803,38.465372238159176,0.0026787367917677773,0.020359075680783434,81.91683391429879,0.12096551124299992,-0.13552470038512218,0.19655647109753716,20.559999465942383,2.3269999027252197,180.64999389648438,4530.41015625,0.7503001093864441
2022-04-01,38.55012512207031,39.226262380955035,38.45189773902851,39.226262380955035,168570,37.68303184509277,38.44051826477051,-0.012359284161895245,-0.053881124768479505,70.3002034850451,0.13496002014001363,-0.08142775628009502,0.7743646419265247,19.6299991607666,2.377000093460083,179.5,4545.85986328125,0.7491927742958069
2022-04-04,38.43227005004883,38.43227005004883,38.29729347802534,38.41325911204697,155520,37.7770471572876,38.42603561401367,-0.0030571903890919128,-0.0774159103043246,69.27071735554883,0.13498482882809526,-0.03814523925845696,0.1349765720234899,18.56999969482422,2.4119999408721924,180.3699951171875,4582.64013671875,0.7486487030982971
